transform,engine,n_cores,median_s,mean_s,std_s,speedup
T1,pandas,0,8.352306919999819,8.570770823400016,0.9873295922559832,
T2,pandas,0,6.704614355999865,6.777481030600074,0.787074229043347,
T3,pandas,0,8.894545791999917,9.027860888399935,0.9046429852631024,
T4,pandas,0,12.264469515999965,11.940727227399975,0.611444751036676,
T5,pandas,0,6.812942549000127,7.200073472799977,1.2600096392460152,
T1,spark,4,5.7768956970001,6.266360049800051,1.7233574772011646,1.4458123113313457
T2,spark,4,3.575802296999882,4.104035275399975,0.8111478271321045,1.87499581887541
T4,spark,4,7.06853669100019,7.680200583200031,1.4469694618193567,1.7350789918959244
T5,spark,4,2.3715221190000197,2.738739706000024,0.8707883949275821,2.872814254784554
T3,spark,1,7.749781144999815,7.608059140799924,0.6967251567806078,1.1477157387520172
T3,spark,2,7.0331958820002,6.887757112000054,0.7618459517550106,1.264652078689206
T3,spark,4,7.055006688000049,7.245889952599919,0.9675154302852432,1.260742361467745
T1,spark,1,5.285152093000306,5.8957809242000625,0.9980437969892286,1.5803342596444243
T1,spark,2,5.012041794000197,5.597797567399994,1.2265406656876772,1.6664479793441025
